instantane_utc,stations,part_vides,part_pleines
2026-09-22 16:43:44,52,0.1346,0.0
2026-09-22 16:44:44,52,0.1346,0.0
2026-09-22 16:45:44,52,0.1346,0.0
2026-09-22 16:46:45,52,0.1346,0.0
2026-09-22 16:47:45,52,0.1346,0.0
2026-09-22 16:48:45,52,0.1346,0.0
2026-09-22 16:49:46,52,0.1346,0.0
2026-09-22 16:50:46,52,0.1346,0.0
2026-09-22 16:51:46,52,0.1346,0.0
2026-09-22 16:52:46,52,0.1346,0.0
2026-09-22 16:53:46,52,0.1346,0.0
2026-09-22 16:54:47,52,0.1346,0.0
2026-09-22 16:55:47,52,0.1346,0.0
2026-09-22 16:56:47,52,0.1346,0.0
2026-09-22 16:57:48,52,0.1346,0.0
2026-09-22 16:58:48,52,0.1346,0.0
2026-09-22 16:59:48,52,0.1346,0.0
2026-09-22 17:00:48,52,0.1346,0.0
2026-09-22 17:01:48,52,0.1346,0.0
2026-09-22 17:02:49,52,0.1346,0.0
2026-09-22 17:03:49,52,0.1346,0.0
2026-09-22 17:04:49,52,0.1346,0.0
2026-09-22 17:05:49,52,0.1346,0.0
2026-09-22 17:06:50,52,0.1346,0.0
2026-09-22 17:07:50,52,0.1346,0.0
2026-09-22 17:08:50,52,0.1346,0.0
2026-09-22 17:09:50,52,0.1346,0.0
2026-09-22 17:10:51,52,0.1346,0.0
2026-09-22 17:11:51,52,0.1346,0.0
2026-09-22 17:12:51,52,0.1346,0.0
2026-09-22 17:13:51,52,0.1346,0.0
2026-09-22 17:14:52,52,0.1346,0.0
2026-09-22 17:15:52,52,0.1346,0.0
2026-09-22 17:16:52,52,0.1346,0.0
2026-09-22 17:17:52,52,0.1346,0.0
2026-09-22 17:18:53,52,0.1346,0.0
2026-09-22 17:19:53,52,0.1346,0.0
2026-09-22 17:20:53,52,0.1346,0.0
2026-09-22 17:21:53,52,0.1346,0.0
2026-09-22 17:22:54,52,0.1346,0.0
2026-09-22 17:23:54,52,0.1346,0.0
2026-09-22 17:24:54,52,0.1346,0.0
2026-09-22 17:25:55,52,0.1346,0.0
2026-09-22 17:26:55,52,0.1346,0.0
2026-09-22 17:27:55,52,0.1346,0.0
2026-09-22 17:28:55,52,0.1154,0.0
2026-09-22 17:29:56,52,0.1154,0.0
2026-09-22 17:30:56,52,0.1154,0.0
2026-09-22 17:31:56,52,0.1154,0.0
2026-09-22 17:32:57,52,0.1154,0.0
2026-09-22 17:33:57,52,0.1154,0.0
2026-09-22 17:34:58,52,0.1154,0.0
2026-09-22 17:35:58,52,0.1154,0.0
2026-09-22 17:36:58,52,0.1154,0.0
2026-09-22 17:37:58,52,0.1154,0.0
2026-09-22 17:38:59,52,0.1154,0.0
2026-09-22 17:39:59,52,0.1154,0.0
2026-09-22 17:40:59,52,0.1154,0.0
2026-09-22 17:41:59,52,0.1154,0.0
2026-09-22 17:43:00,52,0.1154,0.0
2026-09-22 17:44:00,52,0.1154,0.0
2026-09-22 17:45:00,52,0.1154,0.0
2026-09-22 17:46:00,52,0.1154,0.0
2026-09-22 17:47:01,52,0.1154,0.0
2026-09-22 17:48:01,52,0.1154,0.0
2026-09-22 17:49:01,52,0.1154,0.0
2026-09-22 17:50:01,52,0.1154,0.0
2026-09-22 17:51:02,52,0.1154,0.0
2026-09-22 17:52:02,52,0.1154,0.0
2026-09-22 17:53:02,52,0.1154,0.0
2026-09-22 17:54:03,52,0.1346,0.0
2026-09-22 17:55:03,52,0.1346,0.0
2026-09-22 17:56:03,52,0.1346,0.0
2026-09-22 17:57:03,52,0.1346,0.0
2026-09-22 17:58:04,52,0.1346,0.0
2026-09-22 17:59:04,52,0.1346,0.0
2026-09-22 18:00:04,52,0.1346,0.0
2026-09-22 18:01:04,52,0.1346,0.0
2026-09-22 18:02:05,52,0.1346,0.0
2026-09-22 18:03:05,52,0.1346,0.0
2026-09-22 18:04:05,52,0.1346,0.0
2026-09-22 18:05:05,52,0.1538,0.0
2026-09-22 18:06:06,52,0.1538,0.0
2026-09-22 18:07:06,52,0.1346,0.0
2026-09-22 18:08:06,52,0.1346,0.0
2026-09-22 18:09:06,52,0.1346,0.0
2026-09-22 18:10:07,52,0.1154,0.0
2026-09-22 18:11:07,52,0.1154,0.0
2026-09-22 18:12:07,52,0.1154,0.0
2026-09-22 18:13:07,52,0.1154,0.0
2026-09-22 18:14:08,52,0.1154,0.0
2026-09-22 18:15:08,52,0.1154,0.0
2026-09-22 18:16:08,52,0.1154,0.0
2026-09-22 18:17:08,52,0.1154,0.0
2026-09-22 18:18:09,52,0.1154,0.0
2026-09-22 18:19:09,52,0.1154,0.0
2026-09-22 18:20:09,52,0.1154,0.0
2026-09-22 18:21:09,52,0.1154,0.0
2026-09-22 18:22:10,52,0.1154,0.0
2026-09-22 18:23:10,52,0.1154,0.0
2026-09-22 18:24:11,52,0.1154,0.0
2026-09-22 18:25:12,52,0.1154,0.0
2026-09-22 18:26:12,52,0.0962,0.0
2026-09-22 18:27:12,52,0.0962,0.0
2026-09-22 18:28:12,52,0.1154,0.0
2026-09-22 18:29:13,52,0.1154,0.0
2026-09-22 18:30:13,52,0.1154,0.0
2026-09-22 18:31:13,52,0.1154,0.0
2026-09-22 18:32:13,52,0.1154,0.0
2026-09-22 18:33:14,52,0.1154,0.0
2026-09-22 18:34:14,52,0.1154,0.0
2026-09-22 18:35:14,52,0.1154,0.0
2026-09-22 18:36:14,52,0.1154,0.0
2026-09-22 18:37:15,52,0.1154,0.0
2026-09-22 18:38:15,52,0.1154,0.0
2026-09-22 18:39:15,52,0.1154,0.0
2026-09-22 18:40:16,52,0.1154,0.0
2026-09-22 18:41:16,52,0.1346,0.0
2026-09-22 18:42:16,52,0.1346,0.0
2026-09-22 18:43:16,52,0.1346,0.0
2026-09-22 18:44:17,52,0.1346,0.0
2026-09-22 23:27:42,52,0.1538,0.0
2026-09-22 23:28:42,52,0.1538,0.0
2026-09-22 23:29:42,52,0.1538,0.0
2026-09-22 23:30:43,52,0.1538,0.0
2026-09-22 23:31:43,52,0.1538,0.0
2026-09-22 23:32:43,52,0.1538,0.0
2026-09-22 23:33:44,52,0.1538,0.0
2026-09-22 23:34:44,52,0.1538,0.0
2026-09-22 23:35:44,52,0.1538,0.0
